Sample in Buffer,Sample in Window,TRIGGER,TX_Data_Pipelined[63:0],TX_Info_Pipelined[4:0],RX_Data[63:0],RX_Info[4:0]
90,90,0,00000003e4aa676a,1c,00000003e4aa676a,00
91,91,0,00000003e4aa676b,1c,00000003e4aa676b,00
92,92,0,00000003e4aa676c,1c,00000003e4aa676c,00
93,93,0,00000003e4aa676d,1c,00000003e4aa676d,00
94,94,0,00000003e4aa676e,1c,00000003e4aa676e,00
95,95,0,00000003e4aa676f,1c,00000003e4aa676f,00
96,96,0,00000003e4aa6770,1e,00000003e4aa6770,0f
97,97,0,00000003e4aa6771,1d,00000003e4aa6771,10
98,98,0,00000003e4aa6772,1c,00000003e4aa6772,00
99,99,0,00000003e4aa6773,1c,00000003e4aa6773,00
100,100,0,00000003e4aa6774,1c,00000003e4aa6774,00
101,101,0,00000003e4aa6775,1c,00000003e4aa6775,00
102,102,0,00000003e4aa6776,1c,00000003e4aa6776,00
103,103,0,00000003e4aa6777,1c,00000003e4aa6777,00
104,104,0,00000003e4aa6778,1c,00000003e4aa6778,00
105,105,0,00000003e4aa6779,1c,00000003e4aa6779,00
106,106,0,00000003e4aa677a,1c,00000003e4aa677a,00
107,107,0,00000003e4aa677b,1c,00000003e4aa677b,00
108,108,0,00000003e4aa677c,1c,00000003e4aa677c,00
109,109,0,00000003e4aa677d,1c,00000003e4aa677d,00
110,110,0,00000003e4aa677e,1c,00000003e4aa677e,00
111,111,0,00000003e4aa677f,1c,00000003e4aa677f,00
112,112,0,00000003e4aa6780,1e,00000003e4aa6780,0f
113,113,0,00000003e4aa6781,1d,00000003e4aa6781,10
114,114,0,00000003e4aa6782,1c,00000003e4aa6782,00
115,115,0,00000003e4aa6783,1c,00000003e4aa6783,00
116,116,0,00000003e4aa6784,1c,00000003e4aa6784,00
117,117,0,00000003e4aa6785,1c,00000003e4aa6785,00
118,118,0,00000003e4aa6786,1c,00000003e4aa6786,00
119,119,0,00000003e4aa6787,1c,00000003e4aa6787,00
120,120,0,00000003e4aa6788,1c,00000003e4aa6788,00
121,121,0,00000003e4aa6789,1c,00000003e4aa6789,00
122,122,0,00000003e4aa678a,1c,00000003e4aa678a,00
123,123,0,00000003e4aa678b,1c,00000003e4aa678b,00
124,124,0,00000003e4aa678c,1c,00000003e4aa678c,00
125,125,0,00000003e4aa678d,1c,00000003e4aa678d,00
126,126,0,00000003e4aa678e,1c,00000003e4aa678e,00
127,127,0,00000003e4aa678f,1c,00000003e4aa678f,00
128,128,0,00000003e4aa6790,1e,00000003e4aa6790,0f
129,129,0,00000003e4aa6791,1d,00000003e4aa6791,10
130,130,0,00000003e4aa6792,1c,00000003e4aa6792,00
131,131,0,00000003e4aa6793,1c,00000003e4aa6793,00
132,132,0,00000003e4aa6794,1c,00000003e4aa6794,00
133,133,0,00000003e4aa6795,1c,00000003e4aa6795,00
134,134,0,00000003e4aa6796,1c,00000003e4aa6796,00
135,135,0,00000003e4aa6797,1c,00000003e4aa6797,00
136,136,0,00000003e4aa6798,1c,00000003e4aa6798,00
137,137,0,00000003e4aa6799,1c,00000003e4aa6799,00
138,138,0,00000003e4aa679a,1c,00000003e4aa679a,00
139,139,0,00000003e4aa679b,1c,00000003e4aa679b,00
140,140,0,00000003e4aa679c,1c,00000003e4aa679c,00
141,141,0,00000003e4aa679d,1c,00000003e4aa679d,00
142,142,0,00000003e4aa679e,1c,00000003e4aa679e,00
143,143,0,00000003e4aa679f,1c,00000003e4aa679f,00
144,144,0,00000003e4aa67a0,1e,00000003e4aa67a0,0f
145,145,0,00000003e4aa67a1,1d,00000003e4aa67a1,10
146,146,0,00000003e4aa67a2,1c,00000003e4aa67a2,00
147,147,0,00000003e4aa67a3,1c,00000003e4aa67a3,00
148,148,0,00000003e4aa67a4,1c,00000003e4aa67a4,00
149,149,0,00000003e4aa67a5,1c,00000003e4aa67a5,00
150,150,0,00000003e4aa67a6,1c,00000003e4aa67a6,00
151,151,0,00000003e4aa67a7,1c,00000003e4aa67a7,00
152,152,0,00000003e4aa67a8,1c,00000003e4aa67a8,00
153,153,0,00000003e4aa67a9,1c,00000003e4aa67a9,00
154,154,0,00000003e4aa67aa,1c,00000003e4aa67aa,00
155,155,0,00000003e4aa67ab,1c,00000003e4aa67ab,00
156,156,0,00000003e4aa67ac,1c,00000003e4aa67ac,00
157,157,0,00000003e4aa67ad,1c,00000003e4aa67ad,00
158,158,0,00000003e4aa67ae,1c,00000003e4aa67ae,00
159,159,0,00000003e4aa67af,1c,00000003e4aa67af,00
160,160,0,00000003e4aa67b0,1e,00000003e4aa67b0,00
161,161,0,00000003e4aa67b1,1d,00000003e4aa67b1,00
162,162,0,00000003e4aa67b2,1c,00000003e4aa67b2,00
163,163,0,00000003e4aa67b3,1c,00000003e4aa67b3,00
164,164,0,00000003e4aa67b4,1c,00000003e4aa67b4,00
165,165,0,00000003e4aa67b5,1c,00000003e4aa67b5,00
166,166,0,00000003e4aa67b6,1c,00000003e4aa67b6,00
167,167,0,00000003e4aa67b7,1c,00000003e4aa67b7,00
168,168,0,00000003e4aa67b8,1c,00000003e4aa67b8,00
169,169,0,00000003e4aa67b9,1c,00000003e4aa67b9,00
170,170,0,00000003e4aa67ba,1c,00000003e4aa67ba,00
171,171,0,00000003e4aa67bb,1c,00000003e4aa67bb,00
172,172,0,00000003e4aa67bc,1c,00000003e4aa67bc,00
173,173,0,00000003e4aa67bd,1c,00000003e4aa67bd,00
174,174,0,00000003e4aa67be,1c,00000003e4aa67be,00
175,175,0,00000003e4aa67bf,1c,00000003e4aa67bf,00
176,176,0,00000003e4aa67c0,1e,00000003e4aa67c0,0f
177,177,0,00000003e4aa67c1,1d,00000003e4aa67c1,10
178,178,0,00000003e4aa67c2,1c,00000003e4aa67c2,00
179,179,0,00000003e4aa67c3,1c,00000003e4aa67c3,00
180,180,0,00000003e4aa67c4,1c,00000003e4aa67c4,00
181,181,0,00000003e4aa67c5,1c,00000003e4aa67c5,00
182,182,0,00000003e4aa67c6,1c,00000003e4aa67c6,00
183,183,0,00000003e4aa67c7,1c,00000003e4aa67c7,00
184,184,0,00000003e4aa67c8,1c,00000003e4aa67c8,00
185,185,0,00000003e4aa67c9,1c,00000003e4aa67c9,00
186,186,0,00000003e4aa67ca,1c,00000003e4aa67ca,00
187,187,0,00000003e4aa67cb,1c,00000003e4aa67cb,00
188,188,0,00000003e4aa67cc,1c,00000003e4aa67cc,00
189,189,0,00000003e4aa67cd,1c,00000003e4aa67cd,00
190,190,0,00000003e4aa67ce,1c,00000003e4aa67ce,00
191,191,0,00000003e4aa67cf,1c,00000003e4aa67cf,00
192,192,0,00000003e4aa67d0,1e,00000003e4aa67d0,0f
193,193,0,00000003e4aa67d1,1d,00000003e4aa67d1,10
194,194,0,00000003e4aa67d2,1c,00000003e4aa67d2,00
195,195,0,00000003e4aa67d3,1c,00000003e4aa67d3,00
196,196,0,00000003e4aa67d4,1c,00000003e4aa67d4,00
197,197,0,00000003e4aa67d5,1c,00000003e4aa67d5,00
198,198,0,00000003e4aa67d6,1c,00000003e4aa67d6,00
199,199,0,00000003e4aa67d7,1c,00000003e4aa67d7,00
200,200,0,00000003e4aa67d8,1c,00000003e4aa67d8,00
201,201,0,00000003e4aa67d9,1c,00000003e4aa67d9,00
202,202,0,00000003e4aa67da,1c,00000003e4aa67da,00
203,203,0,00000003e4aa67db,1c,00000003e4aa67db,00
204,204,0,00000003e4aa67dc,1c,00000003e4aa67dc,00
205,205,0,00000003e4aa67dd,1c,00000003e4aa67dd,00
206,206,0,00000003e4aa67de,1c,00000003e4aa67de,00
207,207,0,00000003e4aa67df,1c,00000003e4aa67df,00
208,208,0,00000003e4aa67e0,1e,00000003e4aa67e0,0f
209,209,0,00000003e4aa67e1,1d,00000003e4aa67e1,10
210,210,0,00000003e4aa67e2,1c,00000003e4aa67e2,00
211,211,0,00000003e4aa67e3,1c,00000003e4aa67e3,00
212,212,0,00000003e4aa67e4,1c,00000003e4aa67e4,00
213,213,0,00000003e4aa67e5,1c,00000003e4aa67e5,00
214,214,0,00000003e4aa67e6,1c,00000003e4aa67e6,00
215,215,0,00000003e4aa67e7,1c,00000003e4aa67e7,00
216,216,0,00000003e4aa67e8,1c,00000003e4aa67e8,00
217,217,0,00000003e4aa67e9,1c,00000003e4aa67e9,00
218,218,0,00000003e4aa67ea,1c,00000003e4aa67ea,00
219,219,0,00000003e4aa67eb,1c,00000003e4aa67eb,00
220,220,0,00000003e4aa67ec,1c,00000003e4aa67ec,00
221,221,0,00000003e4aa67ed,1c,00000003e4aa67ed,00
222,222,0,00000003e4aa67ee,1c,00000003e4aa67ee,00
223,223,0,00000003e4aa67ef,1c,00000003e4aa67ef,00
224,224,0,00000003e4aa67f0,1e,00000003e4aa67f0,0f
225,225,0,00000003e4aa67f1,1d,00000003e4aa67f1,10
226,226,0,00000003e4aa67f2,1c,00000003e4aa67f2,00
227,227,0,00000003e4aa67f3,1c,00000003e4aa67f3,00
228,228,0,00000003e4aa67f4,1c,00000003e4aa67f4,00
229,229,0,00000003e4aa67f5,1c,00000003e4aa67f5,00
230,230,0,00000003e4aa67f6,1c,00000003e4aa67f6,00
231,231,0,00000003e4aa67f7,1c,00000003e4aa67f7,00
232,232,0,00000003e4aa67f8,1c,00000003e4aa67f8,00
233,233,0,00000003e4aa67f9,1c,00000003e4aa67f9,00
234,234,0,00000003e4aa67fa,1c,00000003e4aa67fa,00
235,235,0,00000003e4aa67fb,1c,00000003e4aa67fb,00
236,236,0,00000003e4aa67fc,1c,00000003e4aa67fc,00
237,237,0,00000003e4aa67fd,1c,00000003e4aa67fd,00
238,238,0,00000003e4aa67fe,1c,00000003e4aa67fe,00
239,239,0,00000003e4aa67ff,1c,00000003e4aa67ff,00
240,240,0,00000003e4aa6800,1e,00000003e4aa6800,0f
241,241,0,00000003e4aa6801,1d,00000003e4aa6801,10
242,242,0,00000003e4aa6802,1c,00000003e4aa6802,00
243,243,0,00000003e4aa6803,1c,00000003e4aa6803,00
244,244,0,00000003e4aa6804,1c,00000003e4aa6804,00
245,245,0,00000003e4aa6805,1c,00000003e4aa6805,00
246,246,0,00000003e4aa6806,1c,00000003e4aa6806,00
247,247,0,00000003e4aa6807,1c,00000003e4aa6807,00
248,248,0,00000003e4aa6808,1c,00000003e4aa6808,00
249,249,0,00000003e4aa6809,1c,00000003e4aa6809,00
250,250,0,00000003e4aa680a,1c,00000003e4aa680a,00
251,251,0,00000003e4aa680b,1c,00000003e4aa680b,00
252,252,0,00000003e4aa680c,1c,00000003e4aa680c,00
253,253,0,00000003e4aa680d,1c,00000003e4aa680d,00
254,254,0,00000003e4aa680e,1c,00000003e4aa680e,00
255,255,0,00000003e4aa680f,1c,00000003e4aa680f,00
256,256,0,00000003e4aa6810,1e,00000003e4aa6810,0f
257,257,0,00000003e4aa6811,1d,00000003e4aa6811,10
258,258,0,00000003e4aa6812,1c,00000003e4aa6812,00
259,259,0,00000003e4aa6813,1c,00000003e4aa6813,00
260,260,0,00000003e4aa6814,1c,00000003e4aa6814,00
261,261,0,00000003e4aa6815,1c,00000003e4aa6815,00
262,262,0,00000003e4aa6816,1c,00000003e4aa6816,00
263,263,0,00000003e4aa6817,1c,00000003e4aa6817,00
264,264,0,00000003e4aa6818,1c,00000003e4aa6818,00
265,265,0,00000003e4aa6819,1c,00000003e4aa6819,00
266,266,0,00000003e4aa681a,1c,00000003e4aa681a,00
267,267,0,00000003e4aa681b,1c,00000003e4aa681b,00
268,268,0,00000003e4aa681c,1c,00000003e4aa681c,00
269,269,0,00000003e4aa681d,1c,00000003e4aa681d,00
270,270,0,00000003e4aa681e,1c,00000003e4aa681e,00
271,271,0,00000003e4aa681f,1c,00000003e4aa681f,00
272,272,0,00000003e4aa6820,1e,00000003e4aa6820,0f
273,273,0,00000003e4aa6821,1d,00000003e4aa6821,10
274,274,0,00000003e4aa6822,1c,00000003e4aa6822,00
275,275,0,00000003e4aa6823,1c,00000003e4aa6823,00
276,276,0,00000003e4aa6824,1c,00000003e4aa6824,00
277,277,0,00000003e4aa6825,1c,00000003e4aa6825,00
278,278,0,00000003e4aa6826,1c,00000003e4aa6826,00
279,279,0,00000003e4aa6827,1c,00000003e4aa6827,00
280,280,0,00000003e4aa6828,1c,00000003e4aa6828,00
281,281,0,00000003e4aa6829,1c,00000003e4aa6829,00
282,282,0,00000003e4aa682a,1c,00000003e4aa682a,00
283,283,0,00000003e4aa682b,1c,00000003e4aa682b,00
284,284,0,00000003e4aa682c,1c,00000003e4aa682c,00
285,285,0,00000003e4aa682d,1c,00000003e4aa682d,00
286,286,0,00000003e4aa682e,1c,00000003e4aa682e,00
287,287,0,00000003e4aa682f,1c,00000003e4aa682f,00
288,288,0,00000003e4aa6830,1e,00000003e4aa6830,00
289,289,0,00000003e4aa6831,1d,00000003e4aa6831,10
290,290,0,00000003e4aa6832,1c,00000003e4aa6832,00
291,291,0,00000003e4aa6833,1c,00000003e4aa6833,00
292,292,0,00000003e4aa6834,1c,00000003e4aa6834,00
293,293,0,00000003e4aa6835,1c,00000003e4aa6835,00
294,294,0,00000003e4aa6836,1c,00000003e4aa6836,00
295,295,0,00000003e4aa6837,1c,00000003e4aa6837,00
296,296,0,00000003e4aa6838,1c,00000003e4aa6838,00
297,297,0,00000003e4aa6839,1c,00000003e4aa6839,00
298,298,0,00000003e4aa683a,1c,00000003e4aa683a,00
299,299,0,00000003e4aa683b,1c,00000003e4aa683b,00
300,300,0,00000003e4aa683c,1c,00000003e4aa683c,00
301,301,0,00000003e4aa683d,1c,00000003e4aa683d,00
302,302,0,00000003e4aa683e,1c,00000003e4aa683e,00
303,303,0,00000003e4aa683f,1c,00000003e4aa683f,00
304,304,0,00000003e4aa6840,1e,00000003e4aa6840,0f
305,305,0,00000003e4aa6841,1d,00000003e4aa6841,10
306,306,0,00000003e4aa6842,1c,00000003e4aa6842,00
307,307,0,00000003e4aa6843,1c,00000003e4aa6843,00
308,308,0,00000003e4aa6844,1c,00000003e4aa6844,00
309,309,0,00000003e4aa6845,1c,00000003e4aa6845,00
310,310,0,00000003e4aa6846,1c,00000003e4aa6846,00
311,311,0,00000003e4aa6847,1c,00000003e4aa6847,00
312,312,0,00000003e4aa6848,1c,00000003e4aa6848,00
313,313,0,00000003e4aa6849,1c,00000003e4aa6849,00
314,314,0,00000003e4aa684a,1c,00000003e4aa684a,00
315,315,0,00000003e4aa684b,1c,00000003e4aa684b,00
316,316,0,00000003e4aa684c,1c,00000003e4aa684c,00
317,317,0,00000003e4aa684d,1c,00000003e4aa684d,00
318,318,0,00000003e4aa684e,1c,00000003e4aa684e,00
319,319,0,00000003e4aa684f,1c,00000003e4aa684f,00
320,320,0,00000003e4aa6850,1e,00000003e4aa6850,0f
321,321,0,00000003e4aa6851,1d,00000003e4aa6851,10
322,322,0,00000003e4aa6852,1c,00000003e4aa6852,00
323,323,0,00000003e4aa6853,1c,00000003e4aa6853,00
324,324,0,00000003e4aa6854,1c,00000003e4aa6854,00
325,325,0,00000003e4aa6855,1c,00000003e4aa6855,00
326,326,0,00000003e4aa6856,1c,00000003e4aa6856,00
327,327,0,00000003e4aa6857,1c,00000003e4aa6857,00
328,328,0,00000003e4aa6858,1c,00000003e4aa6858,00
329,329,0,00000003e4aa6859,1c,00000003e4aa6859,00
330,330,0,00000003e4aa685a,1c,00000003e4aa685a,00
331,331,0,00000003e4aa685b,1c,00000003e4aa685b,00
332,332,0,00000003e4aa685c,1c,00000003e4aa685c,00
333,333,0,00000003e4aa685d,1c,00000003e4aa685d,00
334,334,0,00000003e4aa685e,1c,00000003e4aa685e,00
335,335,0,00000003e4aa685f,1c,00000003e4aa685f,00
336,336,0,00000003e4aa6860,1e,00000003e4aa6860,0f
337,337,0,00000003e4aa6861,1d,00000003e4aa6861,10
338,338,0,00000003e4aa6862,1c,00000003e4aa6862,00
339,339,0,00000003e4aa6863,1c,00000003e4aa6863,00
340,340,0,00000003e4aa6864,1c,00000003e4aa6864,00
341,341,0,00000003e4aa6865,1c,00000003e4aa6865,00
342,342,0,00000003e4aa6866,1c,00000003e4aa6866,00
343,343,0,00000003e4aa6867,1c,00000003e4aa6867,00
344,344,0,00000003e4aa6868,1c,00000003e4aa6868,00
345,345,0,00000003e4aa6869,1c,00000003e4aa6869,00
346,346,0,00000003e4aa686a,1c,00000003e4aa686a,00
347,347,0,00000003e4aa686b,1c,00000003e4aa686b,00
348,348,0,00000003e4aa686c,1c,00000003e4aa686c,00
349,349,0,00000003e4aa686d,1c,00000003e4aa686d,00
350,350,0,00000003e4aa686e,1c,00000003e4aa686e,00
351,351,0,00000003e4aa686f,1c,00000003e4aa686f,00
352,352,0,00000003e4aa6870,1e,00000003e4aa6870,0f
353,353,0,00000003e4aa6871,1d,00000003e4aa6871,10
354,354,0,00000003e4aa6872,1c,00000003e4aa6872,00
355,355,0,00000003e4aa6873,1c,00000003e4aa6873,00
356,356,0,00000003e4aa6874,1c,00000003e4aa6874,00
357,357,0,00000003e4aa6875,1c,00000003e4aa6875,00
358,358,0,00000003e4aa6876,1c,00000003e4aa6876,00
359,359,0,00000003e4aa6877,1c,00000003e4aa6877,00
360,360,0,00000003e4aa6878,1c,00000003e4aa6878,00
361,361,0,00000003e4aa6879,1c,00000003e4aa6879,00
362,362,0,00000003e4aa687a,1c,00000003e4aa687a,00
363,363,0,00000003e4aa687b,1c,00000003e4aa687b,00
364,364,0,00000003e4aa687c,1c,00000003e4aa687c,00
365,365,0,00000003e4aa687d,1c,00000003e4aa687d,00
366,366,0,00000003e4aa687e,1c,00000003e4aa687e,00
367,367,0,00000003e4aa687f,1c,00000003e4aa687f,00
368,368,0,00000003e4aa6880,1e,00000003e4aa6880,0f
369,369,0,00000003e4aa6881,1d,00000003e4aa6881,10
370,370,0,00000003e4aa6882,1c,00000003e4aa6882,00
371,371,0,00000003e4aa6883,1c,00000003e4aa6883,00
372,372,0,00000003e4aa6884,1c,00000003e4aa6884,00
373,373,0,00000003e4aa6885,1c,00000003e4aa6885,00
374,374,0,00000003e4aa6886,1c,00000003e4aa6886,00
375,375,0,00000003e4aa6887,1c,00000003e4aa6887,00
376,376,0,00000003e4aa6888,1c,00000003e4aa6888,00
377,377,0,00000003e4aa6889,1c,00000003e4aa6889,00
378,378,0,00000003e4aa688a,1c,00000003e4aa688a,00
379,379,0,00000003e4aa688b,1c,00000003e4aa688b,00
380,380,0,00000003e4aa688c,1c,00000003e4aa688c,00
381,381,0,00000003e4aa688d,1c,00000003e4aa688d,00
382,382,0,00000003e4aa688e,1c,00000003e4aa688e,00
383,383,0,00000003e4aa688f,1c,00000003e4aa688f,00
384,384,0,00000003e4aa6890,1e,00000003e4aa6890,0f
385,385,0,00000003e4aa6891,1d,00000003e4aa6891,10
386,386,0,00000003e4aa6892,1c,00000003e4aa6892,00
387,387,0,00000003e4aa6893,1c,00000003e4aa6893,00
388,388,0,00000003e4aa6894,1c,00000003e4aa6894,00
389,389,0,00000003e4aa6895,1c,00000003e4aa6895,00
390,390,0,00000003e4aa6896,1c,00000003e4aa6896,00
391,391,0,00000003e4aa6897,1c,00000003e4aa6897,00
392,392,0,00000003e4aa6898,1c,00000003e4aa6898,00
393,393,0,00000003e4aa6899,1c,00000003e4aa6899,00
394,394,0,00000003e4aa689a,1c,00000003e4aa689a,00
395,395,0,00000003e4aa689b,1c,00000003e4aa689b,00
396,396,0,00000003e4aa689c,1c,00000003e4aa689c,00
397,397,0,00000003e4aa689d,1c,00000003e4aa689d,00
398,398,0,00000003e4aa689e,1c,00000003e4aa689e,00
399,399,0,00000003e4aa689f,1c,00000003e4aa689f,00
400,400,0,00000003e4aa68a0,1e,00000003e4aa68a0,0f
401,401,0,00000003e4aa68a1,1d,00000003e4aa68a1,10
402,402,0,00000003e4aa68a2,1c,00000003e4aa68a2,00
403,403,0,00000003e4aa68a3,1c,00000003e4aa68a3,00
404,404,0,00000003e4aa68a4,1c,00000003e4aa68a4,00
405,405,0,00000003e4aa68a5,1c,00000003e4aa68a5,00
406,406,0,00000003e4aa68a6,1c,00000003e4aa68a6,00
407,407,0,00000003e4aa68a7,1c,00000003e4aa68a7,00
408,408,0,00000003e4aa68a8,1c,00000003e4aa68a8,00
409,409,0,00000003e4aa68a9,1c,00000003e4aa68a9,00
410,410,0,00000003e4aa68aa,1c,00000003e4aa68aa,00
411,411,0,00000003e4aa68ab,1c,00000003e4aa68ab,00
412,412,0,00000003e4aa68ac,1c,00000003e4aa68ac,00
413,413,0,00000003e4aa68ad,1c,00000003e4aa68ad,00
414,414,0,00000003e4aa68ae,1c,00000003e4aa68ae,00
415,415,0,00000003e4aa68af,1c,00000003e4aa68af,00
416,416,0,00000003e4aa68b0,1e,00000003e4aa68b0,00
417,417,0,00000003e4aa68b1,1d,00000003e4aa68b1,10
418,418,0,00000003e4aa68b2,1c,00000003e4aa68b2,00
419,419,0,00000003e4aa68b3,1c,00000003e4aa68b3,00
420,420,0,00000003e4aa68b4,1c,00000003e4aa68b4,00
421,421,0,00000003e4aa68b5,1c,00000003e4aa68b5,00
422,422,0,00000003e4aa68b6,1c,00000003e4aa68b6,00
423,423,0,00000003e4aa68b7,1c,00000003e4aa68b7,00
424,424,0,00000003e4aa68b8,1c,00000003e4aa68b8,00
425,425,0,00000003e4aa68b9,1c,00000003e4aa68b9,00
426,426,0,00000003e4aa68ba,1c,00000003e4aa68ba,00
427,427,0,00000003e4aa68bb,1c,00000003e4aa68bb,00
428,428,0,00000003e4aa68bc,1c,00000003e4aa68bc,00
429,429,0,00000003e4aa68bd,1c,00000003e4aa68bd,00
430,430,0,00000003e4aa68be,1c,00000003e4aa68be,00
431,431,0,00000003e4aa68bf,1c,00000003e4aa68bf,00
432,432,0,00000003e4aa68c0,1e,00000003e4aa68c0,0f
433,433,0,00000003e4aa68c1,1d,00000003e4aa68c1,10
434,434,0,00000003e4aa68c2,1c,00000003e4aa68c2,00
435,435,0,00000003e4aa68c3,1c,00000003e4aa68c3,00
436,436,0,00000003e4aa68c4,1c,00000003e4aa68c4,00
